0100091c,00000002,000ffffe,141026
0100091c,00000002,000ffffe,141118
0100082c,00000019,000802d0,141858
010008f0,00000002,000ffffd,142035
0100092c,0000000b,000803d1,142416
010009b4,00000001,000ffffe,142832
01000aec,00000001,000ffffe,143285
01000ae4,00000001,000ffffe,143512
01000ae4,00000001,000ffffe,143626
01000a98,00000004,000ffffd,143926
01000a6c,00000002,000ffffe,144073
01000a64,00000004,000ffffd,144150
01000a64,00000004,000ffffd,144188
010008a4,00000002,000ffffe,144445
01000838,00000002,000ffffe,144575
010008fc,00000002,000ffffe,144912
01000838,00000002,000ffffe,145081
010007ec,00000002,000ffffe,145166
010007d0,00000004,000ffffd,145211
010008ec,00000eca,0008008d,145220
010008dc,00000003,000ffffe,145232
01000930,00000001,000ffffe,145513
0100096c,0000000f,000802d4,145669
0100082c,00000019,000802d4,146022
010009c0,00000002,000ffffd,146171
010007d0,00000004,000ffffd,146499
010008d4,00000003,000ffffd,146933
01000a98,00000004,000ffffd,147152
01000aa0,00000002,000ffffe,147531
01000aac,00000013,000803d3,147739
01000ab0,00000002,000ffffe,147818
01000820,00000003,000ffffe,148139
010009b0,00000023,000803d6,148571
010007fc,00000002,000ffffe,149010
01000820,00000003,000ffffe,149519
010009bc,00000002,000ffffe,150012
010008dc,00000003,000ffffe,150500
01000980,00000002,000ffffe,150743
01000ae4,00000001,000ffffe,151104
01000a18,00000002,000ffffe,151526
01000a38,00000002,000ffffe,151737
01000ac8,00000007,000ffffd,151848
010008fc,00000002,000ffffe,152136
01000970,00000002,000ffffe,152283
01000884,00000002,000ffffe,152357
010007ec,00000002,000ffffe,152666
010008bc,00000002,000ffffe,152821
01000814,00000003,000ffffd,152900
010009bc,00000002,000ffffe,153210
01000868,00000006,000800ba,153370
010009bc,00000002,000ffffe,153716
0100092c,0000000b,000803dc,154172
010008dc,00000003,000ffffe,154388
01000a18,00000002,000ffffe,154771
01000ad4,00000002,000ffffe,155203
01000ad4,00000002,000ffffe,155659
010008dc,00000003,000ffffe,156160
01000814,00000003,000ffffd,156650
01000954,00000004,000ffffd,157136
010007b0,00000002,000ffffd,157377
0100092c,0000000b,000803df,157508
01000820,00000003,000ffffe,157801
010008bc,00000002,000ffffe,157951
010007f4,00000002,000ffffd,158027
010009a4,00000002,000ffffe,158337
01000ac8,00000007,000ffffd,158737
01000a38,00000002,000ffffe,158930
01000ab0,00000002,000ffffe,159301
01000a80,00000002,000ffffe,159487
010008fc,00000002,000ffffe,159820
0100082c,00000019,000802e1,160010
010007d0,00000004,000ffffd,160073
010009a4,00000002,000ffffe,160385
010008d4,00000003,000ffffd,160783
01000980,00000002,000ffffe,160981
010007b0,00000002,000ffffd,161081
01000858,00000004,000ffffe,161373
01000930,00000001,000ffffe,161755
010009a4,00000002,000ffffe,161949
010009c8,00000002,000ffffe,162046
010007d0,00000004,000ffffd,162097
010008fc,00000002,000ffffe,162120
010009a4,00000002,000ffffe,162133
010007b8,00000002,000ffffe,162140
010007ec,00000002,000ffffe,162144
01000aec,00000001,000ffffe,162417
01000a80,00000002,000ffffe,162827
01000a48,00000002,000ffffe,163032
01000ab0,00000002,000ffffe,163135
010007d0,00000004,000ffffd,163455
01000998,00000005,000ffffd,163861
01000838,00000002,000ffffe,164061
010008bc,00000002,000ffffe,164163
01000978,00000002,000ffffd,164454
010009c8,00000002,000ffffe,164600
010008bc,00000002,000ffffe,164945
01000830,00000002,000ffffd,165118
010007f4,00000002,000ffffd,165205
010007e8,00000006,000802e7,165253
01000970,00000002,000ffffe,165511
01000ad4,00000002,000ffffe,166116
01000a48,00000002,000ffffe,166676
01000a44,00000013,000802e6,166787
01000af0,00000001,000ffffe,167088
010007d0,00000004,000ffffd,167251
0100093c,00000002,000ffffe,167601
010008a4,00000002,000ffffe,168049
010008dc,00000003,000ffffe,168514
010008bc,00000002,000ffffe,169017
01000814,00000003,000ffffd,169510
010008ec,00000eca,00080118,169698
01000a38,00000002,000ffffe,169995
01000a78,00000ec9,000801be,170272
01000aa0,00000002,000ffffe,170478
01000a64,00000004,000ffffd,170722
01000980,00000002,000ffffe,171081
0100095c,00000002,000ffffe,171353
0100095c,00000002,000ffffe,171399
010008b0,00000004,00080082,171664
01000868,00000006,0008008d,171798
01000930,00000001,000ffffe,172131
01000838,00000002,000ffffe,172573
010007d8,00000002,000ffffe,172794
010008bc,00000002,000ffffe,172905
0100093c,00000002,000ffffe,172961
010008dc,00000003,000ffffe,173230
01000aec,00000001,000ffffe,173634
01000aec,00000001,000ffffe,174109
01000a80,00000002,000ffffe,174348
0100096c,00000cda,000802ec,174550
010007f4,00000002,000ffffd,174707
010007d0,00000004,000ffffd,174889
0100082c,00000028,000802f1,175255
01000954,00000004,000ffffd,175656
010008bc,00000002,000ffffe,175873
010009a4,00000002,000ffffe,175983
01000850,00000003,000ffffd,176279
010008d4,00000003,000ffffd,176427
010007b8,00000002,000ffffe,176772
0100093c,00000002,000ffffe,177217
01000a64,00000004,000ffffd,177554
01000ae4,00000001,000ffffe,177847
01000a64,00000004,000ffffd,178238
010008b0,00000004,00080055,178704
010008a4,00000002,000ffffe,179207
010009bc,00000002,000ffffe,179460
0100093c,00000002,000ffffe,179587
010007e8,00000006,000802f5,179655
010007b0,00000002,000ffffd,179923
010009a4,00000002,000ffffe,180331
0100082c,00000019,000802f7,180830
01000ab0,00000002,000ffffe,181317
01000ac8,00000007,000ffffd,181817
01000ad4,00000002,000ffffe,182060
01000998,00000005,000ffffd,182427
010007b8,00000002,000ffffe,182846
01000980,00000002,000ffffe,183297
0100095c,00000002,000ffffe,183523
0100089c,00000004,000ffffd,183878
01000838,00000002,000ffffe,184053
01000820,00000003,000ffffe,184143
01000814,00000003,000ffffd,184188
01000930,00000001,000ffffe,184209
010009bc,00000002,000ffffe,184222
010009c8,00000002,000ffffe,184500
010009b4,00000001,000ffffe,184910
01000ae4,00000001,000ffffe,185116
01000aac,00000013,000803f9,185509
01000a98,00000004,000ffffd,185682
01000a30,00000004,000ffffd,186016
010009b4,00000001,000ffffe,186452
0100093c,00000002,000ffffe,186673
010007b0,00000002,000ffffd,187055
0100087c,0000002e,000005f1,187530
010007d8,00000002,000ffffe,187702
01000868,00000006,000800e8,188086
01000930,00000001,000ffffe,188511
01000ac8,00000007,000ffffd,188972
01000ac8,00000007,000ffffd,189200
01000a6c,00000002,000ffffe,189549
0100096c,0000000f,000802ff,189979
01000858,00000004,000ffffe,190177
010008fc,00000002,000ffffe,190280
0100095c,00000002,000ffffe,190333
01000868,00000006,0008006c,190364
0100091c,00000002,000ffffe,190374
0100093c,00000002,000ffffe,190653
0100095c,00000002,000ffffe,190793
01000814,00000003,000ffffd,191136
01000978,00000002,000ffffd,191578
0100091c,00000002,000ffffe,191800
010009c0,00000002,000ffffd,192183
010007f4,00000002,000ffffd,192375
01000af0,00000001,000ffffe,192710
01000a38,00000002,000ffffe,193151
01000a6c,00000002,000ffffe,193611
01000884,00000002,000ffffe,194113
010007d8,00000002,000ffffe,194604
0100089c,00000004,000ffffd,194852
01000858,00000004,000ffffe,195215
01000838,00000002,000ffffe,195395
010008b0,00000004,000800ec,195728
010007d8,00000002,000ffffe,195892
010007e8,00000006,00080306,196219
01000a38,00000002,000ffffe,196377
01000a18,00000002,000ffffe,196698
01000a98,00000004,000ffffd,196861
01000ad4,00000002,000ffffe,196940
01000aec,00000001,000ffffe,196980
01000a18,00000002,000ffffe,197002
01000aec,00000001,000ffffe,197018
01000aac,00000013,00080404,197030
01000ab0,00000002,000ffffe,197432
010008a4,00000002,000ffffe,197773
010007fc,00000002,000ffffe,197944
